                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9623,                 3.7735,                 1.7273,                0.99114,                0.04697,                0.39621,                0.22119,                 1.2308,                 2.8954,                 1.1774,               0.003268,               0.003268,               0.003268
                      2,                 1.0974,                 2.1758,                 1.0797,                0.56904,                0.66427,                0.60853,                0.42553,                 1.0945,                 2.2673,                 1.2322,              0.0065948,              0.0065948,              0.0065948
                      3,                 1.0698,                 1.6684,                 1.1026,                0.50331,                0.72127,                0.59478,                0.40407,                 1.0575,                 1.9755,                 1.1239,               0.009915,               0.009915,               0.009915
                      4,                 1.0412,                 1.5878,                 1.0828,                0.68638,                   0.62,                0.68361,                0.50312,                 1.1338,                 1.7384,                 1.1257,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0271,                 1.4216,                 1.0767,                0.46631,                0.69178,                0.58283,                 0.3578,                 1.0723,                 2.5085,                 1.1617,              0.0099703,              0.0099703,              0.0099703
                      6,                0.99756,                 1.2754,                 1.0616,                0.27165,                0.16824,                0.04776,                0.01693,                 2.9459,                 3.9501,                 3.0293,              0.0099604,              0.0099604,              0.0099604
                      7,                0.97562,                 1.1832,                 1.0382,                0.74653,                0.82305,                0.81895,                 0.5885,                 1.1863,                 1.1175,                 1.1129,              0.0099505,              0.0099505,              0.0099505
                      8,                0.95899,                 1.1126,                 1.0374,                0.69953,                0.80764,                0.84674,                0.68909,                 0.8961,                 1.1012,                 1.0057,              0.0099406,              0.0099406,              0.0099406
                      9,                0.94193,                 1.0629,                 1.0213,                0.65801,                 0.4086,                0.45276,                0.30039,                   1.65,                 2.6959,                 1.5057,              0.0099307,              0.0099307,              0.0099307
                     10,                0.95708,                 1.0118,                 1.0354,                0.73584,                0.74717,                0.77362,                0.59865,                0.93435,                 1.0813,                 1.0491,              0.0099208,              0.0099208,              0.0099208
                     11,                0.94102,                 1.0032,                 1.0289,                0.77769,                0.88233,                 0.8761,                 0.7129,                 0.8543,                0.85654,                 1.0194,              0.0099109,              0.0099109,              0.0099109
                     12,                  0.934,                0.93526,                  1.024,                0.84615,                0.82264,                 0.8765,                0.71328,                 0.8377,                0.82455,                0.96411,               0.009901,               0.009901,               0.009901
                     13,                0.89522,                0.89351,                 1.0086,                0.86579,                0.61453,                0.73426,                0.54388,                0.95088,                 1.0495,                 1.0594,              0.0098911,              0.0098911,              0.0098911
                     14,                0.89577,                0.87178,                 1.0078,                  0.821,                0.88206,                0.87044,                0.71442,                0.83753,                 0.7731,                0.96652,              0.0098812,              0.0098812,              0.0098812
                     15,                0.91549,                0.86681,                 1.0168,                0.63067,                0.81193,                0.75369,                0.61638,                0.83537,                 1.2173,                0.97089,              0.0098713,              0.0098713,              0.0098713
                     16,                0.91215,                 0.8516,                 1.0183,                0.76292,                0.80572,                0.80937,                0.64957,                0.89004,                0.88349,                0.98401,              0.0098614,              0.0098614,              0.0098614
                     17,                0.84924,                0.81112,                0.97109,                0.66973,                0.41992,                0.60549,                0.41806,                 1.2407,                 2.3422,                 1.3301,              0.0098515,              0.0098515,              0.0098515
                     18,                0.89335,                0.81514,                 1.0079,                0.39676,                0.08153,                0.01908,                0.00748,                 2.2158,                      5,                 2.1899,              0.0098416,              0.0098416,              0.0098416
                     19,                0.84385,                0.81278,                0.99571,                0.80414,                0.66735,                0.75633,                0.59122,                0.90006,                 1.2343,                 1.0243,              0.0098317,              0.0098317,              0.0098317
                     20,                0.86067,                0.96855,                0.98468,                0.34309,                0.01389,                0.00845,                0.00164,                 3.7676,                 4.7744,                 3.3028,              0.0098218,              0.0098218,              0.0098218
                     21,                0.87374,                0.77663,                0.99736,                0.70339,                0.81992,                0.78139,                 0.6484,                0.83083,                 1.0318,                0.97201,              0.0098119,              0.0098119,              0.0098119
                     22,                0.85569,                0.72942,                 0.9992,                0.81662,                0.87955,                0.87638,                0.74815,                0.75771,                0.66606,                0.94741,               0.009802,               0.009802,               0.009802
