T/|J| M2/N2 H/N C
0.05 1 -2 0
0.1 1 -2 0
0.15 1 -2 0
0.2 1 -2 0
0.25 1 -2 1.0732e-10
0.3 1 -2 1.67928e-08
0.35 1 -2 5.56663e-07
0.4 1 -2 7.42217e-06
0.45 1 -2 5.4146e-05
0.5 1 -2 0.000259804
0.55 0.999998 -2 0.000921504
0.6 0.999994 -1.99999 0.00261125
0.65 0.999984 -1.99996 0.00623715
0.7 0.999961 -1.99991 0.0130464
0.75 0.999915 -1.99981 0.0245741
0.8 0.999833 -1.99963 0.0425587
0.85 0.999696 -1.99932 0.0688483
0.9 0.99948 -1.99884 0.105316
0.95 0.999156 -1.99813 0.15379
1 0.998692 -1.99711 0.216008
1.05 0.998048 -1.9957 0.293573
1.1 0.997182 -1.99382 0.387927
1.15 0.996046 -1.99136 0.500323
1.2 0.994589 -1.98822 0.631784
1.25 0.992757 -1.9843 0.783066
1.3 0.990494 -1.97948 0.95461
1.35 0.987742 -1.97366 1.14649
1.4 0.984443 -1.96671 1.35835
1.45 0.98054 -1.95853 1.58936
1.5 0.975979 -1.94901 1.83821
1.55 0.970709 -1.93807 2.10302
1.6 0.964687 -1.92562 2.38139
1.65 0.957875 -1.91159 2.67041
1.7 0.950245 -1.89594 2.96672
1.75 0.941779 -1.87862 3.2666
1.8 0.932471 -1.85964 3.56602
1.85 0.922326 -1.83901 3.86084
1.9 0.911361 -1.81676 4.14691
1.95 0.899606 -1.79296 4.4202
2 0.8871 -1.76768 4.67696
2.05 0.873896 -1.74103 4.91386
2.1 0.860054 -1.71312 5.12801
2.15 0.845641 -1.6841 5.31716
2.2 0.830732 -1.65409 5.47962
2.25 0.815405 -1.62326 5.61438
2.3 0.79974 -1.59176 5.72102
2.35 0.783817 -1.55975 5.79971
2.4 0.767717 -1.52737 5.85116
2.45 0.751515 -1.49478 5.87651
2.5 0.735284 -1.46212 5.87729
2.55 0.719094 -1.42952 5.8553
2.6 0.703006 -1.3971 5.81254
2.65 0.687077 -1.36497 5.75116
2.7 0.671357 -1.33323 5.67334
2.75 0.65589 -1.30196 5.58126
2.8 0.640714 -1.27124 5.47704
2.85 0.625861 -1.24112 5.36272
2.9 0.611356 -1.21167 5.2402
2.95 0.59722 -1.18291 5.11126
3 0.583469 -1.15489 4.97748
3.05 0.570114 -1.12761 4.84032
3.1 0.557161 -1.10111 4.70106
3.15 0.544616 -1.07538 4.56083
3.2 0.532479 -1.05043 4.4206
3.25 0.520747 -1.02626 4.28121
3.3 0.509417 -1.00286 4.14336
3.35 0.498484 -0.98022 4.00763
3.4 0.487938 -0.958327 3.87451
3.45 0.477773 -0.937164 3.74438
3.5 0.467978 -0.916716 3.61754
3.55 0.458543 -0.896963 3.49423
3.6 0.449456 -0.877885 3.3746
3.65 0.440708 -0.85946 3.25877
3.7 0.432286 -0.841669 3.1468
3.75 0.424178 -0.824489 3.03872
3.8 0.416374 -0.807898 2.93453
3.85 0.40886 -0.791876 2.83418
3.9 0.401627 -0.7764 2.73762
3.95 0.394663 -0.761451 2.64479
4 0.387957 -0.747007 2.55559
